"id";"textsuggest";"subtext";"extrasearch";"extradisplay";"type";"action";"value";"popularity";"thumbnail_url";"phonetic"
"CO_PM";"Saint Pierre and Miquelon";"Capital: Saint-Pierre";"PM";;"Countries";;;7012;"http://flags.blogpotato.de/flags/large/all/pm.png";
"CO_PN";"Pitcairn";"Capital: Adamstown";"PN";;"Countries";;;46;"http://flags.blogpotato.de/flags/large/all/pn.png";
"CO_PR";"Puerto Rico";"Capital: San Juan";"PR";;"Countries";;;3916632;"http://flags.blogpotato.de/flags/large/all/pr.png";
"CO_PS";"Palestinian Territory";"Capital: East Jerusalem";"PS";;"Countries";;;3800000;"http://flags.blogpotato.de/flags/large/all/ps.png";
"CO_PT";"Portugal";"Capital: Lisbon";"PT";;"Countries";;;10676000;"http://flags.blogpotato.de/flags/large/all/pt.png";
"CO_PW";"Palau";"Capital: Melekeok";"PW";;"Countries";;;19907;"http://flags.blogpotato.de/flags/large/all/pw.png";
"CO_PY";"Paraguay";"Capital: Asunción";"PY";;"Countries";;;6375830;"http://flags.blogpotato.de/flags/large/all/py.png";
"CO_QA";"Qatar";"Capital: Doha";"QA";;"Countries";;;840926;"http://flags.blogpotato.de/flags/large/all/qa.png";
"CO_RE";"Reunion";"Capital: Saint-Denis";"RE";;"Countries";;;776948;"http://flags.blogpotato.de/flags/large/all/re.png";
"CO_RO";"Romania";"Capital: Bucharest";"RO";;"Countries";;;21959278;"http://flags.blogpotato.de/flags/large/all/ro.png";
"CO_RS";"Serbia";"Capital: Belgrade";"RS";;"Countries";;;7344847;"http://flags.blogpotato.de/flags/large/all/rs.png";
"CO_RU";"Russia";"Capital: Moscow";"RU";;"Countries";;;140702000;"http://flags.blogpotato.de/flags/large/all/ru.png";
"CO_RW";"Rwanda";"Capital: Kigali";"RW";;"Countries";;;11055976;"http://flags.blogpotato.de/flags/large/all/rw.png";
"CO_SA";"Saudi Arabia";"Capital: Riyadh";"SA";;"Countries";;;25731776;"http://flags.blogpotato.de/flags/large/all/sa.png";
"CO_SB";"Solomon Islands";"Capital: Honiara";"SB";;"Countries";;;559198;"http://flags.blogpotato.de/flags/large/all/sb.png";
"CO_SC";"Seychelles";"Capital: Victoria";"SC";;"Countries";;;88340;"http://flags.blogpotato.de/flags/large/all/sc.png";
"CO_SD";"Sudan";"Capital: Khartoum";"SD";;"Countries";;;35000000;"http://flags.blogpotato.de/flags/large/all/sd.png";
"CO_SS";"South Sudan";"Capital: Juba";"SS";;"Countries";;;8260490;"http://flags.blogpotato.de/flags/large/all/ss.png";
"CO_SE";"Sweden";"Capital: Stockholm";"SE";;"Countries";;;9045000;"http://flags.blogpotato.de/flags/large/all/se.png";
"CO_SG";"Singapore";"Capital: Singapur";"SG";;"Countries";;;4701069;"http://flags.blogpotato.de/flags/large/all/sg.png";
"CO_SH";"Saint Helena";"Capital: Jamestown";"SH";;"Countries";;;7460;"http://flags.blogpotato.de/flags/large/all/sh.png";
"CO_SI";"Slovenia";"Capital: Ljubljana";"SI";;"Countries";;;2007000;"http://flags.blogpotato.de/flags/large/all/si.png";
"CO_SJ";"Svalbard and Jan Mayen";"Capital: Longyearbyen";"SJ";;"Countries";;;2550;"http://flags.blogpotato.de/flags/large/all/sj.png";
